h_id,age,gender_code,race_code,ethnicity_code,employment_status_code,hours_worked_per_week,earnings_per_week
1_1_1,32,2,2,,1,40,1250
1_34_34,60,2,1,,1,40,538.46
1_46_46,28,1,1,4,1,40,380
1_554_554,29,1,1,,1,40,890
1_666_666,46,2,1,,1,10,0
2_1314_1314,17,1,1,,1,35,290.5
6_6898_6898,67,1,1,4,1,40,500
6_7346_7346,54,2,2,,1,40,2173.07
8_9768_9768,36,1,1,,1,50,2884
9_11763_11763,49,1,1,,1,50,500
18_23481_23481,47,2,1,,1,40,512
19_24212_24212,38,1,4,,1,38,550
20_25196_25196,42,1,7,1,1,40,484.4
20_25289_25289,55,2,14,,1,39,327.6
20_25582_25582,21,1,3,5,1,25,146.25
20_25624_25624,37,2,4,,1,40,711.53
21_26276_26276,60,1,4,,1,50,1442.3
13_137361_18675,38,1,1,1,3,,
24_178642_30613,20,2,2,,3,,
2_1088_1088,56,1,2,,4,,
