h_id,age,gender,race,ethnicity,employment_status,hours_worked_per_week,earnings_per_week
2_1257_1257,26,Female,AmericanIndian/AlaskanNativeOnly,Non-Hispanic,Working,30.0,570.0
4_2097_2097,49,Male,WhiteOnly,Mexican,Working,40.0,400.0
4_2251_2251,25,Male,White-AI,Mexican,Working,50.0,1269.23
4_2556_2556,45,Male,WhiteOnly,Non-Hispanic,Working,45.0,2307.69
5_3231_3231,62,Male,AsianOnly,Non-Hispanic,Working,40.0,807.0
6_5231_5231,32,Female,White-Black,Non-Hispanic,Working,35.0,525.0
10_12575_12575,35,Female,WhiteOnly,Non-Hispanic,Working,35.0,576.92
6_8362_8362,35,Female,AsianOnly,Non-Hispanic,Working,40.0,1807.69
6_8681_8681,28,Male,BlackOnly,Non-Hispanic,Working,40.0,350.0
12_16203_16203,41,Male,WhiteOnly,Dominican,Working,40.0,961.0
9_11174_11174,55,Female,WhiteOnly,Non-Hispanic,Working,60.0,2375.0
10_12120_12120,50,Female,White-Black,Non-Hispanic,Working,40.0,585.0
13_17991_17991,49,Female,WhiteOnly,Non-Hispanic,Working,50.0,1403.84
15_19313_19313,32,Female,W-A-HP,Non-Hispanic,Working,40.0,1040.0
15_19443_19443,25,Male,WhiteOnly,Non-Hispanic,Working,40.0,1192.3
1_853_853,59,Female,WhiteOnly,Non-Hispanic,Working,15.0,461.0
1_60_60,37,Male,BlackOnly,Non-Hispanic,Working,40.0,1115.38
5_3464_3464,66,Male,WhiteOnly,Non-Hispanic,Looking,,
36_44906_44906,65,Female,WhiteOnly,PuertoRican,Layoff,,
2_78016_1870,27,Male,WhiteOnly,Non-Hispanic,Layoff,,
